County,Avg_Monthly_Deaths,Median_Household_Income
atlantic,27.76923076923077,73113
bergen,95.71794871794872,118714
burlington,35.30769230769231,102615
camden,50.61538461538461,82005
cape may,8.512820512820513,83870
cumberland,17.025641025641026,62310
essex,96.6923076923077,73785
gloucester,26.94871794871795,99668
hudson,73.2051282051282,86854
hunterdon,7.871794871794871,133534
mercer,34.56410256410256,92697
middlesex,77.94871794871794,105206
monmouth,61.12820512820513,118527
morris,43.02564102564103,130808
ocean,84.15384615384616,82379
passaic,63.07692307692308,84465
salem,6.717948717948718,73378
somerset,26.41025641025641,131948
sussex,13.307692307692308,111094
union,64.05128205128206,95000
warren,9.41025641025641,92620
