County,Median_Household_Income
"Autauga County, Alabama",68315
"Baldwin County, Alabama",71039
"Barbour County, Alabama",39712
"Bibb County, Alabama",50669
"Blount County, Alabama",57440
"Bullock County, Alabama",36136
"Butler County, Alabama",44429
"Calhoun County, Alabama",54339
"Chambers County, Alabama",48805
"Cherokee County, Alabama",46621
"Chilton County, Alabama",62471
"Choctaw County, Alabama",43299
"Clarke County, Alabama",47549
"Clay County, Alabama",48074
"Cleburne County, Alabama",51553
"Coffee County, Alabama",62199
"Colbert County, Alabama",56149
"Conecuh County, Alabama",39888
"Coosa County, Alabama",52279
"Covington County, Alabama",48772
"Crenshaw County, Alabama",48557
"Cullman County, Alabama",58119
"Dale County, Alabama",52813
"Dallas County, Alabama",37180
"DeKalb County, Alabama",47920
"Elmore County, Alabama",73258
"Escambia County, Alabama",41153
"Etowah County, Alabama",52177
"Fayette County, Alabama",45650
"Franklin County, Alabama",47359
"Geneva County, Alabama",47608
"Greene County, Alabama",32796
"Hale County, Alabama",35851
"Henry County, Alabama",58395
"Houston County, Alabama",55064
"Jackson County, Alabama",46748
"Jefferson County, Alabama",63595
"Lamar County, Alabama",49565
"Lauderdale County, Alabama",56081
"Lawrence County, Alabama",54786
"Lee County, Alabama",59288
"Limestone County, Alabama",80146
"Lowndes County, Alabama",33125
"Macon County, Alabama",41206
"Madison County, Alabama",78058
"Marengo County, Alabama",42975
"Marion County, Alabama",49743
"Marshall County, Alabama",58272
"Mobile County, Alabama",55352
"Monroe County, Alabama",39965
"Montgomery County, Alabama",56707
"Morgan County, Alabama",61588
"Perry County, Alabama",32332
"Pickens County, Alabama",45339
"Pike County, Alabama",42616
"Randolph County, Alabama",49879
"Russell County, Alabama",47420
"St. Clair County, Alabama",73218
"Shelby County, Alabama",90618
"Sumter County, Alabama",31726
"Talladega County, Alabama",52457
"Tallapoosa County, Alabama",53282
"Tuscaloosa County, Alabama",61645
"Walker County, Alabama",52987
"Washington County, Alabama",51184
"Wilcox County, Alabama",38208
"Winston County, Alabama",49494
"Aleutians East Borough, Alaska",79961
"Aleutians West Census Area, Alaska",100662
"Anchorage Municipality, Alaska",95731
"Bethel Census Area, Alaska",64094
"Bristol Bay Borough, Alaska",94167
"Chugach Census Area, Alaska",83068
"Copper River Census Area, Alaska",70606
"Denali Borough, Alaska",87292
"Dillingham Census Area, Alaska",69412
"Fairbanks North Star Borough, Alaska",81655
"Haines Borough, Alaska",68276
"Hoonah-Angoon Census Area, Alaska",62344
"Juneau City and Borough, Alaska",95711
"Kenai Peninsula Borough, Alaska",76272
"Ketchikan Gateway Borough, Alaska",82763
"Kodiak Island Borough, Alaska",91138
"Kusilvak Census Area, Alaska",42663
"Lake and Peninsula Borough, Alaska",61607
"Matanuska-Susitna Borough, Alaska",86435
"Nome Census Area, Alaska",70121
"North Slope Borough, Alaska",83472
"Northwest Arctic Borough, Alaska",77647
"Petersburg Borough, Alaska",77826
"Prince of Wales-Hyder Census Area, Alaska",61779
"Sitka City and Borough, Alaska",95261
"Skagway Municipality, Alaska",79583
"Southeast Fairbanks Census Area, Alaska",75378
"Wrangell City and Borough, Alaska",61000
"Yakutat City and Borough, Alaska",76875
"Yukon-Koyukuk Census Area, Alaska",47826
"Apache County, Arizona",37483
"Cochise County, Arizona",58421
"Coconino County, Arizona",67266
"Gila County, Arizona",55242
"Graham County, Arizona",64089
"Greenlee County, Arizona",73756
"La Paz County, Arizona",46634
"Maricopa County, Arizona",80675
"Mohave County, Arizona",53592
"Navajo County, Arizona",50335
"Pima County, Arizona",64323
"Pinal County, Arizona",73313
"Santa Cruz County, Arizona",51885
"Yavapai County, Arizona",62430
"Yuma County, Arizona",56439
"Arkansas County, Arkansas",58695
"Ashley County, Arkansas",44804
"Baxter County, Arkansas",47403
"Benton County, Arkansas",85269
"Boone County, Arkansas",52275
"Bradley County, Arkansas",43688
"Calhoun County, Arkansas",60237
"Carroll County, Arkansas",56826
"Chicot County, Arkansas",36593
"Clark County, Arkansas",48071
"Clay County, Arkansas",44685
"Cleburne County, Arkansas",52780
"Cleveland County, Arkansas",48913
"Columbia County, Arkansas",47441
"Conway County, Arkansas",50282
"Craighead County, Arkansas",55169
"Crawford County, Arkansas",56702
"Crittenden County, Arkansas",51860
"Cross County, Arkansas",48129
"Dallas County, Arkansas",40085
"Desha County, Arkansas",38067
"Drew County, Arkansas",44968
"Faulkner County, Arkansas",61273
"Franklin County, Arkansas",47695
"Fulton County, Arkansas",38917
"Garland County, Arkansas",54229
"Grant County, Arkansas",68598
"Greene County, Arkansas",54879
"Hempstead County, Arkansas",45049
"Hot Spring County, Arkansas",50260
"Howard County, Arkansas",44824
"Independence County, Arkansas",52361
"Izard County, Arkansas",46159
"Jackson County, Arkansas",41929
"Jefferson County, Arkansas",46855
"Johnson County, Arkansas",42470
"Lafayette County, Arkansas",40262
"Lawrence County, Arkansas",43606
"Lee County, Arkansas",33801
"Lincoln County, Arkansas",50526
"Little River County, Arkansas",58627
"Logan County, Arkansas",51131
"Lonoke County, Arkansas",68078
"Madison County, Arkansas",51514
"Marion County, Arkansas",42891
"Miller County, Arkansas",47613
"Mississippi County, Arkansas",50012
"Monroe County, Arkansas",41786
"Montgomery County, Arkansas",47103
"Nevada County, Arkansas",43421
"Newton County, Arkansas",50699
"Ouachita County, Arkansas",47348
"Perry County, Arkansas",53980
"Phillips County, Arkansas",37458
"Pike County, Arkansas",49248
"Poinsett County, Arkansas",43440
"Polk County, Arkansas",48449
"Pope County, Arkansas",51678
"Prairie County, Arkansas",47045
"Pulaski County, Arkansas",58326
"Randolph County, Arkansas",45993
"St. Francis County, Arkansas",39822
"Saline County, Arkansas",73236
"Scott County, Arkansas",45340
"Searcy County, Arkansas",42063
"Sebastian County, Arkansas",54047
"Sevier County, Arkansas",53567
"Sharp County, Arkansas",43332
"Stone County, Arkansas",37664
"Union County, Arkansas",49745
"Van Buren County, Arkansas",45768
"Washington County, Arkansas",61985
"White County, Arkansas",51144
"Woodruff County, Arkansas",49608
"Yell County, Arkansas",55879
"Alameda County, California",122488
"Alpine County, California",101125
"Amador County, California",74853
"Butte County, California",66085
"Calaveras County, California",77526
"Colusa County, California",69619
"Contra Costa County, California",120020
"Del Norte County, California",61149
"El Dorado County, California",99246
"Fresno County, California",67756
"Glenn County, California",64033
"Humboldt County, California",57881
"Imperial County, California",53847
"Inyo County, California",63417
"Kern County, California",63883
"Kings County, California",68540
"Lake County, California",56259
"Lassen County, California",59515
"Los Angeles County, California",83411
"Madera County, California",73543
"Marin County, California",142019
"Mariposa County, California",60021
"Mendocino County, California",61335
"Merced County, California",64772
"Modoc County, California",54962
"Mono County, California",82038
"Monterey County, California",91043
"Napa County, California",105809
"Nevada County, California",79395
"Orange County, California",109361
"Placer County, California",109375
"Plumas County, California",67885
"Riverside County, California",84505
"Sacramento County, California",84010
"San Benito County, California",104451
"San Bernardino County, California",77423
"San Diego County, California",96974
"San Francisco County, California",136689
"San Joaquin County, California",82837
"San Luis Obispo County, California",90158
"San Mateo County, California",149907
"Santa Barbara County, California",92332
"Santa Clara County, California",153792
"Santa Cruz County, California",104409
"Shasta County, California",68347
"Sierra County, California",61108
"Siskiyou County, California",53898
"Solano County, California",97037
"Sonoma County, California",99266
"Stanislaus County, California",74872
"Sutter County, California",72654
"Tehama County, California",59029
"Trinity County, California",47317
"Tulare County, California",64474
"Tuolumne County, California",70432
"Ventura County, California",102141
"Yolo County, California",85097
"Yuba County, California",66693
"Adams County, Colorado",86297
"Alamosa County, Colorado",52271
"Arapahoe County, Colorado",92292
"Archuleta County, Colorado",66813
"Baca County, Colorado",42115
"Bent County, Colorado",45776
"Boulder County, Colorado",99770
"Broomfield County, Colorado",117541
"Chaffee County, Colorado",65703
"Cheyenne County, Colorado",65577
"Clear Creek County, Colorado",87169
"Conejos County, Colorado",44093
"Costilla County, Colorado",34578
"Crowley County, Colorado",40685
"Custer County, Colorado",66250
"Delta County, Colorado",56349
"Denver County, Colorado",85853
"Dolores County, Colorado",64708
"Douglas County, Colorado",139010
"Eagle County, Colorado",98887
"Elbert County, Colorado",124360
"El Paso County, Colorado",82748
"Fremont County, Colorado",56165
"Garfield County, Colorado",82772
"Gilpin County, Colorado",95902
"Grand County, Colorado",79367
"Gunnison County, Colorado",76538
"Hinsdale County, Colorado",58712
"Huerfano County, Colorado",49631
"Jackson County, Colorado",38686
"Jefferson County, Colorado",103167
"Kiowa County, Colorado",45250
"Kit Carson County, Colorado",58992
