Facility_Name,Municipality,Confirmed_Resident_Cases,Confirmed_Staff_Cases,Confirmed_Resident_Deaths,Confirmed_Staff_Deaths,Reported_Date,County,Concluded_Date
Woodview Estates,Hamilton Twp,1,3,0,0,2/19/2025,Atlantic,3/18/2025
Autumn Lake Healthcare at Linwood,Linwood,14,4,0,0,1/22/2025,Atlantic,4/8/2025
Meadowview Nursing and Rehabilitation Center,Northfield,2,2,0,0,1/14/2025,Atlantic,1/27/2025
Royal Suites Healthcare and Rehabilitation,Galloway,11,0,0,0,1/13/2025,Atlantic,2/25/2025
Our Lady's Center for Rehabilitation & Healthcare,Pleasantville,5,0,2,0,1/8/2025,Atlantic,2/27/2025
New Standard Senior Living of Hammonton,Hammonton,15,3,0,0,1/7/2025,Atlantic,2/25/2025
Preferred Care at Absecon §,Absecon,4,0,0,0,1/2/2025,Atlantic,2/21/2025
Seashore Gardens Living Center,Galloway,12,2,0,0,8/14/2024,Atlantic,9/13/2024
New Standard Senior Living of Hammonton,Hammonton,3,0,0,0,8/9/2024,Atlantic,9/9/2024
ExcelCare at Egg Harbor (formerly Egg Harbor Care Center),Egg Harbor Twp,5,0,0,0,8/5/2024,Atlantic,9/10/2024
Meadowview Nursing and Rehabilitation Center,Northfield,12,9,0,0,7/22/2024,Atlantic,9/17/2024
Autumn Lake Healthcare at Linwood,Linwood,31,14,1,0,7/15/2024,Atlantic,8/30/2024
Somers Place,Egg Harbor Twp,9,4,0,0,7/15/2024,Atlantic,8/20/2024
Woodview Estates,Hamilton Twp,8,0,1,0,6/5/2024,Atlantic,7/12/2024
The Health Center at Galloway,Galloway,5,1,0,0,5/3/2024,Atlantic,6/6/2024
Our Lady's Center for Rehabilitation & Healthcare,Pleasantville,1,0,0,0,4/12/2024,Atlantic,5/8/2024
ExcelCare at Egg Harbor (formerly Egg Harbor Care Center),Egg Harbor Twp,12,3,1,0,1/26/2024,Atlantic,3/28/2024
Seashore Gardens Living Center,Galloway,3,2,0,0,1/20/2024,Atlantic,3/1/2024
Royal Suites Healthcare and Rehabilitation,Galloway,3,0,1,0,1/12/2024,Atlantic,3/12/2024
The Health Center at Galloway,Galloway,38,23,1,0,1/9/2024,Atlantic,3/7/2024
Meadowview Nursing and Rehabilitation Center,Northfield,30,16,0,0,1/2/2024,Atlantic,3/21/2024
